Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Fan_edited_Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Fan_edited_ethnicity,Website,Notes,Year,,
Lori Stegmann,OR,Local,County Board of Commissioners, Multnomah County Board of County Commissioners,Multnomah County Commissioner,,Legis,,,,Incumbent,Yes,Lori Stegmann,,,Won,,Won,97.90%,F,,Korean,,2018 Election not listed,2018,"Recalling her childhood as an orphan immigrating to the US, she said, ?To think how far an abandoned baby from Seoul, South Korea could go in life, if given the chance, is what motivates and drives me every time I look into the eyes of those in need.?",
Suely Saro,CA,Local,County Council,Long Beach City Council,Councilmember,,Legis,,N,N,Challenger,Yes,Dee Andrews,N,3/3/2020,Won,11/3/2020,Won,60.00%,F,Cambodian,Cambodian,https://www.suelysaro.com/,,2020,,
Jenny Lam,CA,Local,Board of Education,San Francisco Unified School Board of Education,Board member,San Francisco Unified School District,,,N,N,Incumbent,,,,,Won,11/3/2020,Won,17.00%,F,Chinese,Chinese,https://www.jennylam.org/meet-jenny,,2020,,
Otto Lee,CA,Local,County Council,Santa Clara County Board of Supervisors,Supervisor,AD-3,Legis,,N,N,Open Seat,No,Dave Cortese,N,3/3/2020,Won,11/3/2020,Won,60.20%,M,Chinese,Chinese,https://www.ottolee.org/,,2020,,
Michelle Tong,CA,Local,Superior Court,San Francisco Superior Court,Judge,,Judicial,,,,,,,N,3/3/2020,Won,11/3/2020,Won,57.10%,F,Chinese,Chinese,http://www.tong4judge.com/,,2020,,
Mai Xiong,MI,Local,County Board of Commissioners,Macomb County Commissioner,County Commissioner,District 2,Legis,,D,D,Challenger,Yes,Marvin Sauger,D,8/4/2020,Won,11/3/2020,Won,,F,Hmong,Hmong,https://www.voteformai.com/,First ever Hmong American to be elected in Michigan,2020,,
Mai Vang,CA,Local,City Council,Sacramento City Council,Councilmember,District 8,Legis,,,,Open Seat,No,Larry Carr,,3/3/2020,Won,11/3/2020,Won,52.10%,F,Hmong,Hmong,https://maivang.org/,,2020,,
Aftab Pureval,OH,Local,Clerk of Courts,Hamilton County Clerk of Courts,Judge,,Judicial,,D,D,Incumbent,Yes,Aftab Pureval,D,3/17/2020,Won,11/3/2020,Won,57.10%,M,,Indian,https://voteaftab.com/,,2020,Aftab Pureval Of Indian-Tibetan Descent Wins Democratic Primary In US (ndtv.com),Consider as mixed Asian w/ non-Asian
Chander Jayaraman,DC,Local,City Council,Council of the District of Columbia,Councilmember,At-Large,Legis,,I,I,Open Seat,No,David Grosso,I,6/2/2020,Won,11/3/2020,Won,14.80%,M,Indian,Indian,https://chander2020.com/,,2020,,
Lakshmi Kode Sammarco,OH,Local,City Council,Hamilton County Council,Coroner,,Legis,,D,D,Incumbent,Yes,Lakshmi Kode Sammarco,D,3/17/2020,Won,,Won,100.00%,F,,Indian,http://sammarco4coroner.com/,,2020,"A native of India and mother of two,",Facebook
Nithya Raman,CA,Local,City Council,Los Angeles City Council,Councilmember,District 4,Legis,,N,N,Challenger,Yes,David Ryu,N,3/3/2020,Won,11/3/2020,Won,52.70%,F,Indian,Indian,https://www.nithyaforthecity.com/,,2020,,
Maimona Afzal Berta,CA,Local,Board of Education,Franklin-McKinley Board of Education,Trustee,,Legis,,,,Incumbent,Yes,Maimona Afzal Berta,,3/3/2020,Won,11/3/2020,Won,66.90%,F,"Pakistani,Kashmiri","Pakistani,Kashmiri",https://www.votemaimona.com/,,2020,,
Andrew Do,CA,Local,County Board of Supervisors,Orange County Board of Supervisors,Supervisor,District 1,Legis,,R,R,Incumbent,Yes,Andrew Do,R,3/3/2020,Won,11/3/2020,Won,51.90%,M,Vietnamese,Vietnamese,http://voteandrewdo.com/,,2020,,
Shahana Hanif,NY,Local,City Council,New York City Council,Councilmember,District 39,Legis,,D,D,Challenger,No,Brad Lander,D,6/22/2021,Won,11/3/2021,Won,89.30%,F,Bangladeshi,Bangladeshi,https://shahanafrombk.com/,,2021,,
Soma Syed,NY,Local,,Queens Civil Court ,Judgeship,Queens,Judicial,,D,D,Open Seat,No,,,6/22/2021,Won,11/3/2021,Won,37.90%,F,Bangladeshi,Bangladeshi,https://www.soma4ny.com/,,2021,,
Marpheen Chann,ME,Local,,Portland Charter Commission,District Commissioner,At-Large,,,,,Open Seat,?,,,6/8/2021,Won,,Won,,M,Cambodian,Cambodian,www.chann4charter.com,,2021,,
Sandra Ung,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,D,Open Seat,No,Peter Koo,D,6/22/2021,Won,11/3/2021,Won,59.50%,F,Chinese,Chinese,https://sandrafornewyork.com/,,2021,,
Conrad Lee,WA,Local,City Council,Bellevue City Council,Councilmember,Position 2,Legis,,R,R,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,54.90%,M,Chinese,Chinese,,,2021,,
Shekar Krishnan,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,D,Open Seat,No,Danny Dromm,D,6/22/2021,Won,11/3/2021,Won,60.70%,M,Indian,Indian,https://twitter.com/shek_krishnan?lang=en,,2021,,
Hassan Dhananjaya,WA,Local,City Council,East Bellevue Community Municipal Corporation,Councilmember,Position 3,Legis,,,,Open Seat,,,,8/3/2021,Won,11/2/2021,Won,97.90%,M,Indian,Indian,,,2021,,
Kim Muramoto,WA,Local,City Council,Clyde Hill City Council,Councilmember,Position 3,Legis,,,,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,,M,Japanese,Japanese,https://www.muromoto.org,,2021,,
Russell Joe,WA,Local,City Council,Issaquah City Council,Councilmember,Position 5,Legis,,,,Open Seat,No,Stacy Goodman,,8/3/2021,Won,11/2/2021,Won,62.20%,M,Japanese,Japanese,,,2021,,
Tracy Furutani,WA,Local,City Council,Lake Forest Park City Council,Councilmember,Position 5,Legis,,,,Open Seat,No,Mark Phillips,,8/3/2021,Won,11/2/2021,Won,56.40%,M,Japanese,Japanese,tracyforlfp5.com,,2021,,
Julie Won,NY,Local,City Council,New York City Council,Councilmember,District 26,Legis,,D,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Won,11/3/2021,Won,77.20%,F,Korean,Korean,https://www.juliewon.com/,,2021,,
Linda Lee,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Won,11/3/2021,Won,63.60%,F,Korean,Korean,https://lindaleefornyc.com/,,2021,,
Jane Aras,WA,Local,School District,Bellevue School District No. 405,Boardmember,District 5,Legis,,D,D,Open Seat,No,Francine Weist,,8/3/2021,Won,11/2/2021,Won,63.00%,F,,Korean,https://www.janearas.com,,2021,https://www.janearas.com/about,
Vivian Song Maritz,WA,Local,School District,Seattle School District No. 4,Boardmember,District 4,Legis,,D,D,Open Seat,No,Erin Dury,,8/3/2021,Won,11/2/2021,Won,72.00%,F,Taiwanese,Taiwanese,https://vivian.school,,2021,,
Hoang Tran,WA,Local,City Council,Federal Way City Council,Councilmember,Position 4,Legis,,,,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,50.00%,M,Vietnamese,Vietnamese,Re-Electhoangtran.com,,2021,,
Joe Van,WA,Local,School District,Highline School District No. 401,Boardmember,District 3,Legis,,,,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,83.10%,M,,Vietnamese,,,2021,https://www.highlineschools.org/about/school-board/joe-van-bio,
Joyce Shui,WA,Local,School District,Bellevue School District No. 405,Boardmember,District 3,Legis,,D,D,Open Seat,No,Erica Melief,,8/3/2021,Won,11/2/2021,Won,67.90%,F,,Chinese,https://joyceforbsdboard.weebly.com,https://results.vote.wa.gov/results/20211102/king/,2021,,
Leah Choi,WA,Local,School District,Lake Washington School District No. 414,Boardmember,District 3,Legis,,D,D,Open Seat,No,Cassandra Sage,,8/3/2021,Won,11/2/2021,Won,55.20%,F,,,https://www.vote4leah.com,,2021,,
Chiho Lai,WA,Local,City Council,East Bellevue Community Municipal Corporation,Councilmember,Position 5,Legis,,D,D,Open Seat,No,Ross Gooding,,8/3/2021,Won,11/2/2021,Won,56.30%,M,,,https://www.votechiho.com,,2021,,
Satwinder Kaur,WA,Local,City Council,Kent City Council,Councilmember,Position 2,Legis,,D,D,,,,,8/3/2021,Won,11/2/2021,Won,97.80%,M,,South Asian,https://www.electsatwinder.com/about-satwinder,,2021,,
Phil Chang,OR,Local,County Board of Commissioners,Deschutes County Commission,Deschutes County Commissioner,,Legis,,D,D,Challenger,Yes,Phil Henderson,R,5/19/2020,Won,,Won,54.00%,M,Chinese,Chinese,https://votephilchang.com/,,,,
Curtis Kin,CA,Local,Superior Court,Los Angeles County Superior Court,Judge,,Judicial,,R,R,Incumbent,Yes,Curtis Kin,R,3/3/2020,Won,11/3/2020,Won,100.00%,M,Chinese,Chinese,,,,,
Bita Yeager,NV,Local,District Court,Nevada District Court,Judge,Dept 1,Judicial,,,,,,,,,Won,11/3/2020,Won,,F,,Japanese,,Alum of Las Vegas program,,"Maiden name is Khamsi. Half-Japanese, half Iranian. Acknowledges Asian background",
Holly J. Fujie,CA,Local,Superior Court,Los Angeles County Superior Court,Judge,,Judicial,,,,Incumbent,,,,3/3/2020,Won,11/3/2020,Won,100.00%,F,Japanese,Japanese,,,,,
Theresa Bui Creevy,TX,Local,District Court,Texas 416th District Court,Judge,,Judicial,,D,D,?,?,,,3/3/2020,Won,11/3/2020,Won,42.60%,F,Vietnamese,Vietnamese,,,,,
Lee Lor,CA,Local,County Board of Supervisors,Merced County Board of Supervisors,Supervisor,District 2,Legis,,D,D,Incumbent,Yes,Lee Lor,D,3/3/2020,Won,11/3/2020,,,F,Hmong,Hmong,https://www.leelordistrict2.com/,,2020,,
Linh Song,MI,Local,City Council,Ann Arbor City Council,Councilmember,Ward 2,Legis,,D,D,Challenger,Yes,Jane Lumm,D,8/4/2020,Won,11/3/2020,,,F,"Vietnamese,Laotian","Vietnamese,Laotian",https://songfora2.com/,,2020,,
Catherine Kuo,CA,Local,Board of Trustees,Dublin Unified School District Board of Trustees,Board Member,Area 3,,,,,Incumbent,,,,,Won,11/3/2020,,,F,,Korean,"Dublin Mourns School District Trustee Killed In Campus Crash | Dublin, CA Patch",,,,
Soonhee Bailey,CA,Local,District Court,Eighth Judicial District Court,Judge,,Judicial,,,,,,,,6/9/2020,Won,11/3/2020,,,F,Korean,Korean,https://www.sunnybailey.com/,,,,
Nick Kor,MN,Local,City Council,Minneapolis City Council,Councilmember,Ward 7 ,,,D,D,Challenger,No,Lisa Goodman,D,,,11/2/2021,Lost,26.50%,M,Filipino,Filipino,https://www.nickkor.com/,,2021,,
Kim Khanh Van,WA,Local,City Council,County ,Councilmember,King County - District 9 ,Legis,,D,D,Challenger,Yes,Reagan Dunn,R,8/3/2021,,11/2/2021,Lost,36.10%,F,Vietnamese,Vietnamese,https://www.electkimkhanhvan.com/about/,,2021,,
Joe Nguyen,WA,Local,County Council,King County Council,County Executive,,,,D,D,Challenger,Yes,Dow Constantine,D,8/3/2021,,11/2/2021,Lost,42.50%,M,Vietnamese,Vietnamese,https://meetjoenguyen.com/,,2021,,
Michael Vo,CA,Local,County Board of Supervisors,Orange County Board of Supervisors,County Supervisor,District 2,,,,,Open Seat,No,,,,,3/9/2021,Lost,9.00%,M,Vietnamese,Vietnamese,https://www.voteformichaelvo.com/,,2021,,
Ajmeri Hoque,OH,Local,City Council,Dublin City Council,Council Member ,Ward 1 ,Legis,,,,,,,,,,11/2/2021,Lost,,F,,Bangladeshi,,,,https://www.ohiowomensallianceactionfund.org/blog/meet-ajmeri-hoque,
Eric Wang,CA,Local,City Council,Walnut City Council,Councilmember,,Legis,,N,N,,,,,,,,Lost,13.00%,M,,Chinese,,,,About me | Eric Wang (eric-wang.org),
Kate Miya,CO,Local,City Council,Thornton City Council ,Councilmember,Ward 3,Legis,,,,,,,,,,11/2/2021,Lost,,F,,Mixed,https://www.kateforthornton.com/,,,https://directory.runforsomething.net/candidate/1725/miya-kate,
Linda Lee,NY,Local,City Council,NYC Council,Councilmember,NY-23,City Council,Lower,D,D,Challenger,?,Barry Grodenchik,,6/22/2021,,11/2/2021,Not in General,,F,Korean,Korean,https://lindaleefornyc.com/meetlinda,,,,
Greg Tanaka,CA,Local,City Council,Palo Alto,Councilmember ,,Legis,,,,Incumbent,Yes,,,,,11/3/2020,Won,,M,Japanese,Japanese,gregtanaka.org,,2020,I am a 2nd generation Chinese American from my mom?s side and a 4th generation Japanese American from my dad?s side (in California since 1880!).,
Hung Wei,CA,Local,City Council,Cupertino City Council,Councilmember,At-Large,Legis,,,,Open Seat,,,,,,11/3/2020,Won,25.70%,F,,Taiwanese,hungwei.org,,2020,,
Will Chen,WA,Local,City Council,Edmonds City Council,Councilmember,Position 2,Legis,,,,Open Seat,No,Luke Distelhorst,,8/3/2021,,11/2/2021,Won,50.40%,M,Chinese,Chinese,https://www.friendsofwill.org/endorsements/,,2021,,
Coco Alinsug,MA,Local,City Council,Lynn City Council,City Councilor,Ward 3,,,D,D,Open Seat,No,Darren P. Cyr,D,9/14/2021,,11/2/2021,Won,65.00%,M,Filipino,Filipino,https://www.cocoalinsug.com/,,2021,,
Akriti Bhambi,MA,Local,School District,Cambridge School Committee,Boardmember,,,,D,D,Challenger,Yes,"Alfred Fantini, Jose Luis Rojas Villarreal, David Weinstein, Ayesha Wilson, Rachel Weinstein",D,,,11/2/2021,Won,,F,Indian,Indian,https://www.voteakriti.com/meet-akriti,,2021,,
Aditi Bussells,SC,Local,City Council,Columbia City Council,Councilmember,,Legis,,N,N,Open Seat,,,,,,11/2/2021,Won,53.80%,F,,Indian,,https://www.aditiforthecity.com/,2021,https://citycouncil.columbiasc.gov/council-profiles/dr-aditi-bussells/,
Pratima Lakhotia,WA,Local,City Council,Newcastle City Council,Councilmember,Position 5,Legis,,,,Open Seat,No,Dave Mitchell,,8/3/2021,,11/2/2021,Won,51.00%,F,,Indian,https://www.pdc.wa.gov/browse/campaign-explorer/candidate?filer_id=LAKHP--059&election_year=2021,,2021,https://www.newcastlewa.gov/city_hall/city_council/councilmembers/pratima_lakhotia,
Bruce Harrell,WA,Local,City Council,Seattle City Council,Mayor,,Legis,,N,N,Open Seat,No,Jenny Durkan,D,8/3/2021,,11/2/2021,Won,61.90%,M,Japanese,Japanese,https://www.bruceforseattle.com/,mayor is technically non-partisan,2021,,
Eric Ching,CA,Local,City Council,Walnut City Council,Councilmember,,Legis,,N,N,,,,,,,,Won,19.20%,M,,Chinese,,,,"Eric Ching | City of Walnut, CA",
Suds Jain,CA,Local,City Council,Santa Clara City Council,Councilmember,District 5,,,,,Open Seat,,,,,,,Won,,M,,Indian,,,,,
Toshiko Hasegawa,WA,Local,Board Commission,Seattle Port,Port Commissioner,Position 4,Legis,,N,N,Challenger,Yes,Peter Steinbrueck,N,8/3/2021,,11/2/2021,Won,53.40%,F,,Japanese,,,,https://www.toshikohasegawa.com/about,
Kevin Park,CA,Local,City Council,Santa Clara City Council,Councilmember,District 4,,,,,Open Seat,,,,,,,Won,,M,,Korean,,,,,
Aisha Chughtai,MN,Local,City Council,Minneapolis City Council,Councilmember,Ward 10,Legis,,D,D,Open Seat,No,,,,,11/2/2021,Won,59.90%,F,,Pakistani,,,,https://www.minneapolismn.gov/government/city-council/ward-10/about-aisha-chughtai/,
Michelle Wu,MA,Local,County Council,Boston City Council,Mayor,,Legis,,N,N,?,?,Martin J. Walsh,N,11/3/2021,,11/2/2021,Won,61.00%,F,,Taiwanese,,,,https://en.wikipedia.org/wiki/Michelle_Wu,
Amy Lam,WA,Local,City Council,Sammamish City Council,Councilmember,Council Position 1,Legis,,,,,,,,,,11/2/2021,Won,50.60%,F,,Chinese,,,,,
Josina Morita ,IL,Local,County Board of Commissioners,Cook County Board,Commissioner ,District 13,Legis,,D,D,Open Seat,No,Larry Suffredin ,D,,,11/8/2022,,,F,"Japanese,Chinese","Japanese,Chinese",https://www.josinamorita.com/,https://www.friendsofjosina.com/about,2022,,
QINGLAN JIANG,CA,Local,School District,WALNUT VALLEY UNIFIED SCHOOL DISTRICT,Board Member,,Legis,,N,N,,,,,,,,,20.90%,,,East Asian,,,,Based on last name,
Seema Kazmi,PA,Local,,Delegate to DNC Convention,,1st Congressional District Bucks County,,,D,D,,,,,,,,,,F,Indian,Indian,,,,,
Phoukham Kelly Bounkeua,WA,Local,,Precinct Committee Officer - Democratic,,,,,D,D,,,,,,,,,,F,Lao,Lao,,,,,
Joy Chowdhury,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-34,Legis,Lower,D,D,Challenger,Yes,Michael DenDekker,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Bengali,Bengali,https://www.joyfornys.com/,,2020,,
Mahfuzul Islam,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-24,Legis,Lower,D,D,Challenger,Yes,David Weprin,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Bengali,Bengali,https://www.mahfuzulfor24.com/,,2020,,
Mary Jobaida,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-37,Legis,Lower,D,D,Challenger,Yes,Catherine Nolan,D,6/23/2020,Lost,11/3/2020,Not in General,,F,Bengali,Bengali,https://www.maryforassembly.com/,,2020,,
Steve Lee,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-40,Legis,Lower,D,D,Challenger,Yes,Ron Kim,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Chinese,Chinese,https://stevefornewyork.com/,,2020,,
Anthony Lo,TX,State,State House,Texas House of Representatives,State Representative,HD-67,Legis,Lower,D,D,Challenger,Yes,Jeff Leach,R,3/3/2020,Lost,11/3/2020,Not in General,,M,,East Asian,https://votelo4texas.com/,,2020,Based on last name,
Ron Falconi,OH,State,State Senate,Ohio State Senate,State Senator,SD-22,Legis,Upper,R,R,Open Seat,No,Larry Obhof,R,3/17/2020,Lost,11/3/2020,Not in General,,M,Filipino,Filipino,,,2020,,
Dinesh Singhal,TX,State,State Court of Appeals,Texas 1st Court of Appeals ,Justice ,Place 3 ,Judicial,,D,D,Challenger,Yes,Justice Russell Lloyd ,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://singhalforjustice.com/,,2020,,
Ravi Sangisetty ,LA,State,State House,Louisiana House of Representatives,State Representative,LA-98,Legis,Lower,D,D,Open Seat,No,Neil Abramson,D,10/12/2019,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://www.sangisetty.com/,,2020,,
Grace Lee,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-65,Legis,Lower,D,D,Challenger,Yes,Yuh-Line Niou,D,6/23/2020,Lost,11/3/2020,Not in General,,F,Korean,Korean,https://www.graceleeforassembly.com/,,2020,,
Suleman Lalani,TX,State,State House,Texas House of Representatives,State Representative,HD-26,Legis,Lower,D,D,Open Seat,No,Rick Miller,R,3/3/2020,Lost,11/3/2020,Not in General,,M,,South Asian,https://www.facebook.com/LalaniTX26/,,2020,"Texas House Dist. 26, a ?Boiling pot? of diversity with race of all races (fbindependent.com)",
Tyler Diep,CA,State,California State Assembly,State House,Assemblymember,HD-72,Legis,Lower,R,R,Incumbent,Yes,Tyler Diep,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,Vietnamese,https://www.tylerdiep.com/,,2020,,
Faris Zwirahn,NJ,State,State Assembly,New Jersey Assembly,Assemblymember,District 16,Legis,,D,D,Open Seat,No, Andrew Zwicker,D,6/8/2021,Lost,11/2/2021,Not in General,,M,Syrian,Syrian,https://www.zwirahn.com/,,2021,,
Romy Cachola,HI,State,State House,Hawaii House of Representatives,State Representative,District 30,Legis,,D,D,Incumbent,Yes,,,,Lost,11/3/2020,Not in General,,M,Filipino,Filipino,,,,,
Lourdes Everett,CA,State,State Assembly,California State Assembly,Assemblymember,District 36,Legis,,D,D,Challenger,Yes,Tom Lackey,R,3/3/2020,Lost,11/3/2020,Not in General,,F,Filipinx,Filipinx,,,,,
Karishma Mehta,VA,State,State House,Virginia House of Delegates,Delegate,VA-49,Legis,,D,D,Challenger,?,Alfonso Lopez.,D,6/8/2021,Lost,,Not in General,,F,Indian,Indian,https://karishmaforvirginia.com/,,,,
Hoang Murphy,MN,State,State House,Minnesota House of Representatives,State Representative,HD-67A,Legis,Lower,,D,Open Seat,No,Tim Mahoney,D,8/11/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,Vietnamese,https://hoangmurphy.org/,,,,
Hop Nguyen,AZ,State,State Senate,Arizona State Senate,State Senator,District 22,Legis,,R,R,Challenger,Yes,David Livingston,R,8/4/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,Vietnamese,,,,,
Fatima Iqbal-Zubair,CA,State,State Assembly,California State Assembly,Assemblymember,District 64,Legis,Lower,,D,,,,,,n/a,11/3/2020,Lost,,F,,Muslim,,,,Born in Dubai,
Rui Xu,KS,State,State House,Kansas House of Representatives,State Representative,HD-05,Legis,Lower,D,D,Incumbent,Yes,Rui Xu,D,8/4/2020,Unopposed,11/3/2020,Won,,M,Chinese,Chinese,https://www.ruixuforkansas.com/,,2020,,
Padma Kuppa,MI,State,State House,Michigan House of Representatives,State Representative,HD-41,Legis,Lower,D,D,Incumbent,Yes,Padma Kuppa,D,8/4/2020,Unopposed,11/3/2020,Won,,F,,Indian,https://act.myngp.com/FORMS/7275765585008331776,,2020,,
Mia Gregerson,WA,State,State House,Washington House of Representatives,State Representative,LD-33,Legis,Lower,D,D,Incumbent,Yes,Mia Gregerson,D,8/4/2020,Unopposed,11/3/2020,Won,,F,,Taiwanese,https://housedemocrats.wa.gov/gregerson/,,2020,,
Vin Gopal,NJ,State,State Senate,New Jersey State Senate,State Senator,District 11,Legis,,D,D,Incumbent,Yes,,,6/8/2021,Unopposed,11/2/2021,Won,51.90%,M,Indian,Indian,,First Indian American elected to NJ Senate,,,
Zohran Kwame Mamdani,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-36,Legis,,D,D,Open Seat,No,,,,Unopposed,11/3/2020,Won,,M,,Mixed,,,,Zohran is proud to be the first South Asian man to serve in the NYS Assembly as well as the first Ugandan and only the third Muslim to ever be a member of the body.,
Imtiaz Ahmad Mohammad,FL,State,State House,Florida State House,State Representative,HD-97,Legis,Lower,D,D,Challenger,Yes,Jared Evan Moskowitz,D,8/25/2020,Won,11/3/2020,Lost,34.70%,M,,???? South Asian,,,2020,"Underrepresented in politics, Muslim candidates seek to become a force in South Florida - South Florida Sun Sentinel - South Florida Sun-Sentinel",
Jackie Leung,OR,State,State House,Oregon House of Representatives,State Representative,District 19,Legis,Lower,D,D,Challenger,Yes,Raquel Moore-Green,R,5/19/2020,Won,11/3/2020,Lost,45.30%,F,,Chinese,https://jackiefororegon.org/,,2020,Based on last name,
Daniel Dong,NH,State,State House,New Hampshire State House,State Representative,Bedford,Legis,Lower,D,D,,,,,9/8/2020,Won,11/3/2020,Lost,7.70%,M,,East Asian,https://www.danieldongforbedford.com/,Youngest Candidate (18) to run for office in NH,2020,,
Godfrey Plata,CA,State,California State Assembly,State House ,Assemblymember ,CA-53,Legis,Lower,D,D,Challenger,Yes,Miguel Santiago ,D,3/3/2020,Won,11/3/2020,Lost,43.60%,M,Filipino,Filipino,https://www.godfreyforassembly.com/,,2020,,
Mazhil Rajendran,AR,State,State House,Arkansas House of Representatives,State Representative,District 31,Legis,Lower,D,D,Open Seat,No,Andy Davis,R,,Won,11/3/2020,Lost,30.30%,M,Indian,Indian,https://www.mazhilrajendran.com/,,2020,,
Shomir Banerjee,CA,State,State Assembly,California State Assembly,Assemblymember,District 29,Legis,Lower,R,R,Challenger,Yes,Mark Stone,D,3/3/2020,Won,11/3/2020,Lost,24.60%,M,,Indian,http://www.sb4assembly.org/,,2020,Based on last name,
Radhika Kunnel,NV,State,State Assembly,Nevada State Assembly,Assemblymember,AD-2,Legis,Lower,D,D,Open Seat,No,John Hambrick,R,6/9/2020,Won,11/3/2020,Lost,44.30%,F,Indian,Indian,https://www.kunnel4nv.com/,First South Asian Immigrant to win a primary in Nevada,2020,,
Peter Ohtaki,CA,State,State Assembly,California State Assembly,Assemblymember,District 24,Legis,,R,R,Challenger,Yes,Marc Berman,D,3/3/2020,Won,11/3/2020,Lost,24.20%,M,,Japanese,https://www.peterohtaki.com/,,2020,Based on last name,
Tab Uno,UT,State,State House,Utah House of Representatives ,State Representative ,HD-13,Legis,Lower,D,D,Challenger,Yes,Paul Ray,R,6/23/2020,Won,11/3/2020,Lost,38.30%,M,,Japanese,https://www.tablynunoforutahhouse.com/,,2020,https://justfacts.votesmart.org/candidate/biography/50385/tab-uno,
June Cutter,CA,State,California State Assembly,California State Assembly,Assemblymember,HD-77,Legis,Lower,R,R,Challenger,Yes,Brian Maienschein ,D,3/3/2020,Won,11/3/2020,Lost,42.20%,F,Korean,Korean,https://www.junecutter.com/,,2020,,
Diedre Thu-Ha Nguyen,CA,State,California State Assembly,State House,Assemblymember,HD-72,Legis,Lower,D,D,Challenger,Yes,Tyler Diep,R,3/3/2020,Won,11/3/2020,Lost,46.00%,F,Vietnamese,Vietnamese,https://diedrenguyen.com/,,2020,,
Hao Wu,SC,State,State Senate,South Carolina State Senate,State Senator,District 6,Legis,,D,D,Challenger,Yes,Dwight Loftis,R,,Won,11/3/2020,Lost,34.80%,M,Chinese,Chinese,haotoserve.com,,,,
Garry Guan,GA,State,State Senate,Georgia State Senate,State Senator,District 40,Legis,,R,R,Challenger,Yes,Sally Harrell,D,,Won,11/3/2020,Lost,39.50%,M,Chinese,Chinese,,,,,
Jay Lin,GA,State,State House,Georgia State House,State Representative ,District 50,Legis,,R,R,Challenger,Yes,Angelika Kausche,D,,Won,11/3/2020,Lost,47.20%,M,Chinese,Chinese,,,,,
Jay Walker,PA,State,State House,Pennsylvania State House,State Representative,District 23,Legis,,G,G,Challenger,Yes,Dan Frankel,D,,Won,11/3/2020,Lost,14.70%,M,Chinese,Chinese,jaytingwalker.com/,,,,
Jeff Jiang,MN,State,State Senate,Minnesota State Senate,State Senator,District 48,Legis,,R,R,Challenger,Yes,Steve Cwodzinski ,D,,Won,11/3/2020,Lost,41.80%,M,Chinese,Chinese,,,,,
Steve Lee,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-40,Legis,,I,I,Challenger,Yes,Ron Kim,D,,Won,11/3/2020,Lost,16.60%,M,,East Asian,About ? Steve for New York,,,,
Kanamu Balinbin,HI,State,State House,Hawaii House of Representatives,State Representative,District 10,Legis,,R,R,Challenger,Yes,Angus McKelvey,D,,Won,11/3/2020,Lost,32.90%,M,Filipino,Filipino,,,,,
Rida Cabanilla,HI,State,State Senate,Hawaii State Senate,State Senator,District 19,Legis,,D,D,Challenger,Yes,,,,Won,11/3/2020,Lost,41.70%,F,,Filipino,,,,,
Desmon Haumea,HI,State,State House,Hawaii House of Representatives,State Representative,District 4,Legis,,I,I,Challenger,Yes,Mark Nakashima,D,,Won,11/3/2020,Lost,12.40%,M,Hawaiian,Hawaiian,,,,,
Kilomana Michael Danner,HI,State,State House,Hawaii House of Representatives,Representative,District 49,Legis,,R,R,Challenger,Yes,Scot Matayoshi,D,,Won,11/3/2020,Lost,22.80%,M,,Hawaiian,,,,,
Christy Kajiwara-Gusman,HI,State,State Senate,Hawaii State Senate,State Senator,District 5,Legis,,R,R,Challenger,Yes,,,,Won,11/3/2020,Lost,30.90%,F,,Hawaiian,,,,https://www.civilbeat.org/2020/09/candidate-qa-state-senate-district-5-christy-kajiwara-gusman/,
Kahala Jen Chrupalyk,HI,State,State House,Hawaii House of Representatives,State Representative,District 9,Legis,,I,I,Challenger,Yes,Justin Woodson,D,,Won,11/3/2020,Lost,16.50%,F,Hawaiian,Hawaiian,,,,,
